iter	Passed	Remaining
316	1895	4084
317	1900	4075
318	1904	4066
319	1909	4057
320	1914	4049
321	1918	4040
322	1923	4030
323	1927	4021
324	1932	4012
325	1936	4004
326	1941	3995
327	1945	3986
328	1950	3978
329	1954	3968
330	1959	3959
331	1963	3951
332	1968	3942
333	1972	3933
334	1977	3924
335	1981	3915
336	1985	3906
337	1990	3898
338	1994	3889
339	1999	3881
340	2004	3873
341	2010	3867
342	2015	3860
343	2020	3852
344	2025	3844
345	2029	3836
346	2034	3827
347	2038	3819
348	2043	3811
349	2047	3802
350	2052	3794
351	2056	3785
352	2061	3777
353	2065	3769
354	2070	3761
355	2075	3754
356	2080	3746
357	2084	3738
358	2089	3730
359	2093	3722
360	2098	3713
361	2102	3705
362	2107	3697
363	2111	3689
364	2116	3681
365	2120	3673
366	2125	3665
367	2129	3657
368	2134	3649
369	2138	3641
370	2143	3633
371	2148	3626
372	2152	3618
373	2157	3610
374	2161	3602
375	2165	3594
376	2170	3587
377	2175	3580
378	2180	3572
379	2185	3565
380	2189	3557
381	2194	3549
382	2198	3541
383	2203	3534
384	2207	3527
385	2212	3519
386	2217	3511
387	2221	3503
388	2225	3495
389	2230	3488
390	2234	3480
391	2239	3473
392	2243	3465
393	2248	3458
394	2252	3450
395	2257	3442
396	2262	3435
397	2266	3428
398	2270	3420
399	2275	3412
400	2279	3405
401	2284	3397
402	2288	3390
403	2292	3382
404	2297	3375
405	2301	3367
406	2306	3360
407	2311	3353
408	2315	3345
409	2320	3339
410	2325	3332
411	2329	3324
412	2333	3317
413	2338	3310
414	2343	3303
415	2348	3297
416	2353	3290
417	2357	3283
418	2362	3275
